iter	Logloss
0	0.6789024596
1	0.6653974473
2	0.6532879788
3	0.641157762
4	0.6305728922
5	0.6201970185
6	0.6107791857
7	0.6017657382
8	0.593483008
9	0.5859394214
10	0.5786968518
11	0.5723233863
12	0.5658996231
13	0.5602931189
14	0.5551109129
15	0.5501148256
16	0.5452556437
17	0.5407304482
18	0.5366771724
19	0.53320104
20	0.5295717684
21	0.5261108491
22	0.5226100433
23	0.5194110245
24	0.516503465
25	0.5137707334
26	0.5110767989
27	0.5085371643
28	0.506352397
29	0.5042327864
30	0.5022042826
31	0.5003895385
32	0.4985556634
33	0.4969281839
34	0.4954046736
35	0.4939686114
36	0.4925031859
37	0.490933187
38	0.489557866
39	0.4883401464
40	0.4870587135
41	0.4860762056
42	0.4848694026
43	0.4837453561
44	0.4826512034
45	0.481698494
46	0.4808376021
47	0.4800843926
48	0.4793052748
49	0.4785886904
50	0.4777794312
51	0.4770844568
52	0.4764135587
53	0.4757531412
54	0.4751774338
55	0.4745707784
56	0.4739105644
57	0.4734587682
58	0.4727812279
59	0.4722687392
60	0.4716952307
61	0.4712612853
62	0.4706758727
63	0.4701879538
64	0.4697776819
65	0.4693263232
66	0.4689138775
67	0.4685874339
68	0.4681496936
69	0.4678160547
70	0.4674228388
71	0.4670982646
72	0.4668370794
73	0.4665266723
74	0.4662153778
75	0.4659169728
76	0.4656831315
77	0.4653331106
78	0.4650369066
79	0.464765384
80	0.46449394
81	0.4641813003
82	0.4639849322
83	0.4637362847
84	0.4635360745
85	0.463282682
86	0.4630672729
87	0.4627867889
88	0.462616616
89	0.4624163358
90	0.4622431132
91	0.4620304766
92	0.4618190332
93	0.4616514278
94	0.4615167382
95	0.4613276559
96	0.4611462451
97	0.4610118021
98	0.460884302
99	0.4607223145
100	0.4605102078
101	0.4603334899
102	0.4601586451
103	0.4599893501
104	0.4598290447
105	0.4596523078
106	0.4594655595
107	0.4593539797
108	0.4592286893
109	0.4591087586
110	0.4589763283
111	0.4588389966
112	0.4587257212
113	0.4585592727
114	0.4583915297
115	0.4582859533
116	0.4581418021
117	0.4580639892
118	0.4579416919
119	0.4578498356
120	0.4577373619
121	0.4576565148
122	0.4575352514
123	0.4574330492
124	0.4573448986
125	0.4572149191
126	0.4571654057
127	0.4570122053
128	0.4569275365
129	0.4568442687
130	0.4567788942
131	0.4567081706
132	0.4566435793
133	0.4565677549
134	0.4564513693
135	0.4563311418
136	0.4562493192
137	0.4561827434
138	0.4560966043
139	0.4559749402
140	0.4559144131
141	0.455860283
142	0.4557743229
143	0.4557063608
144	0.4556102978
145	0.4555409596
146	0.4554631695
147	0.4553277092
148	0.4552521206
149	0.4552002656
150	0.4551758116
151	0.4550858173
152	0.4550460585
153	0.4549972634
154	0.4549191281
155	0.4548530958
156	0.4547282255
157	0.4546365982
158	0.4545764226
159	0.454464459
160	0.4544071295
161	0.4542957585
162	0.4542153921
163	0.4541673059
164	0.4540849902
165	0.4540156594
166	0.4539507903
167	0.4539056815
168	0.4538269044
169	0.4538208404
170	0.4537601497
171	0.4537157281
172	0.4536559538
173	0.4536084722
174	0.4535695565
175	0.4535223532
176	0.4534602442
177	0.4533962146
178	0.4533341282
179	0.4532765751
180	0.4531952895
181	0.4531310601
182	0.4530973624
183	0.4530240715
184	0.4529824745
185	0.4528879659
186	0.4528446677
187	0.4527851885
188	0.4527598976
189	0.4526482939
190	0.4525325773
191	0.452488156
192	0.452406184
193	0.4523268824
194	0.4522484536
195	0.4521869759
196	0.4521434913
197	0.4520628265
198	0.4520343261
199	0.4519802612
200	0.4519309678
201	0.4518860504
202	0.4518691492
203	0.4518303014
204	0.4517750719
205	0.4517304159
206	0.4516824868
207	0.4516346839
208	0.451607939
209	0.451556192
210	0.4515263634
211	0.4514912556
212	0.4514420179
213	0.4513571783
214	0.4512571602
215	0.4512357709
216	0.4511845782
217	0.4511238642
218	0.4510682792
219	0.4510205081
220	0.4509842807
221	0.450886905
222	0.4508539144
223	0.4508265048
224	0.4507526361
225	0.4507108516
226	0.4506287868
227	0.4505818086
228	0.450515316
229	0.4504976752
230	0.4504789721
231	0.4504442098
232	0.4503671087
233	0.450344558
234	0.4503016695
235	0.4502763214
236	0.4502324052
237	0.4501840949
238	0.4501121618
239	0.4500506403
240	0.4499798983
241	0.4499453552
242	0.4499242199
