iter	Passed	Remaining
0	151	51313
1	162	27315
2	174	19586
3	185	15527
4	195	13073
5	206	11472
6	217	10295
7	227	9409
8	238	8750
9	250	8239
10	261	7806
11	272	7437
12	283	7115
13	295	6852
14	306	6628
15	319	6448
16	330	6254
17	341	6090
18	352	5939
19	362	5778
20	373	5659
21	387	5583
22	398	5476
23	410	5381
24	421	5299
25	435	5245
26	447	5167
27	460	5111
28	472	5051
29	484	4986
30	498	4947
31	509	4891
32	522	4840
33	534	4790
34	546	4745
35	559	4708
36	571	4665
37	586	4645
38	598	4604
39	611	4572
40	624	4539
41	638	4515
42	652	4494
43	665	4458
44	677	4427
45	689	4392
46	702	4362
47	716	4340
48	728	4308
49	739	4275
50	751	4242
51	763	4214
52	776	4190
53	788	4163
54	800	4131
55	811	4101
56	824	4077
57	836	4054
58	849	4030
59	860	4003
60	873	3982
61	885	3957
62	897	3932
63	911	3917
64	923	3894
65	936	3873
66	948	3850
67	958	3820
68	969	3794
69	982	3774
70	994	3752
71	1004	3724
72	1014	3697
73	1025	3670
74	1036	3647
75	1048	3628
76	1058	3603
77	1069	3579
78	1080	3557
79	1091	3534
80	1102	3511
81	1114	3491
82	1124	3469
83	1137	3453
84	1148	3432
85	1159	3411
86	1170	3390
87	1181	3370
88	1192	3349
89	1204	3332
90	1215	3311
91	1226	3292
92	1236	3270
93	1247	3250
94	1259	3233
95	1272	3220
96	1283	3201
97	1293	3180
98	1303	3160
99	1315	3143
100	1326	3126
101	1339	3112
102	1351	3096
103	1363	3081
104	1375	3065
105	1387	3050
106	1401	3039
107	1414	3024
108	1425	3007
109	1436	2991
110	1448	2975
111	1460	2959
112	1472	2945
113	1484	2929
114	1496	2914
115	1507	2898
116	1520	2885
117	1533	2872
118	1544	2856
119	1557	2841
120	1569	2826
121	1580	2811
122	1594	2799
123	1606	2785
124	1618	2770
125	1631	2757
126	1642	2742
127	1655	2728
128	1668	2716
129	1681	2702
130	1693	2688
131	1704	2672
132	1716	2658
133	1730	2646
134	1742	2633
135	1754	2619
136	1766	2604
137	1778	2590
138	1791	2577
139	1803	2564
140	1815	2548
141	1825	2533
142	1837	2519
143	1850	2505
144	1864	2495
145	1878	2482
146	1889	2468
147	1903	2456
148	1914	2441
149	1926	2427
150	1936	2411
151	1950	2399
152	1961	2384
153	1973	2370
154	1984	2356
155	1997	2343
156	2009	2329
157	2021	2315
158	2033	2302
159	2045	2288
160	2060	2277
161	2072	2264
162	2084	2250
163	2097	2237
164	2110	2225
165	2124	2214
166	2136	2200
167	2149	2187
168	2160	2173
169	2169	2156
170	2180	2142
171	2194	2130
172	2205	2116
173	2216	2101
174	2228	2088
175	2239	2074
176	2251	2060
177	2262	2046
178	2275	2034
179	2286	2019
180	2298	2006
181	2311	1993
182	2323	1980
183	2337	1968
184	2348	1954
185	2361	1942
186	2373	1928
187	2387	1917
188	2398	1903
189	2410	1890
190	2422	1876
191	2433	1863
192	2446	1850
193	2459	1838
194	2471	1824
195	2482	1811
196	2494	1797
197	2506	1784
198	2519	1772
199	2531	1759
200	2543	1746
201	2556	1733
202	2568	1720
203	2579	1707
204	2591	1694
205	2605	1682
206	2618	1669
207	2631	1657
208	2642	1643
209	2654	1630
210	2667	1618
211	2678	1604
212	2689	1590
213	2702	1578
214	2716	1566
215	2728	1553
216	2741	1541
217	2753	1528
218	2765	1515
219	2780	1504
220	2793	1491
221	2806	1478
222	2818	1465
223	2829	1452
224	2845	1441
225	2858	1429
226	2870	1416
227	2883	1403
228	2895	1390
229	2908	1378
230	2920	1365
231	2933	1352
232	2945	1340
233	2957	1326
234	2970	1314
235	2982	1301
236	2996	1289
237	3008	1276
238	3019	1263
239	3031	1250
240	3043	1237
241	3057	1225
242	3068	1212
243	3080	1199
244	3094	1187
245	3107	1174
246	3119	1162
247	3132	1149
248	3144	1136
249	3155	1123
250	3166	1110
251	3181	1098
252	3193	1085
253	3204	1072
254	3217	1059
255	3229	1047
256	3244	1035
257	3255	1022
258	3266	1009
259	3279	996
260	3291	983
261	3303	970
262	3314	957
263	3328	945
264	3340	932
265	3352	919
266	3364	907
267	3376	894
268	3389	882
269	3401	869
270	3412	856
271	3424	843
272	3436	830
273	3448	817
274	3461	805
275	3472	792
276	3484	779
277	3496	767
278	3508	754
279	3522	742
280	3535	729
281	3548	717
282	3560	704
283	3574	692
284	3586	679
285	3598	666
286	3610	654
287	3622	641
288	3635	629
289	3647	616
290	3659	603
291	3672	591
292	3683	578
293	3694	565
294	3706	552
295	3720	540
296	3732	527
297	3743	515
298	3756	502
299	3768	489
300	3782	477
301	3792	464
302	3803	451
303	3813	439
304	3823	426
305	3834	413
306	3844	400
307	3856	388
308	3867	375
309	3879	362
310	3890	350
311	3903	337
312	3915	325
313	3926	312
314	3937	299
315	3947	287
316	3958	274
317	3969	262
318	3982	249
319	3993	237
320	4003	224
321	4014	211
322	4025	199
323	4035	186
324	4049	174
325	4060	161
326	4071	149
327	4082	136
328	4092	124
329	4104	111
330	4117	99
331	4127	87
332	4138	74
333	4149	62
334	4159	49
335	4171	37
336	4184	24
337	4195	12
338	4204	0
